Key,Key Description,Valid Values,columnType,Parent,Module
ANOVA,ANOVA or analysis of variance is a data transformation in which a statistical test of whether the means of several groups are all equal.,,STRING,AnalysisType,Analysis
Clustering,Group together some data entities on the basis of similarities such that entities in the same group (cluster) are more similar to each other than to those in other groups (clusters).,,STRING,AnalysisType,Analysis
Copy_number_estimation,Estimate the number of copies of loci of particular gene(s) in DNA sequences typically from gene-expression profiling technology based on microarray hybridisation-based experiments.,,STRING,AnalysisType,Analysis
DNA_methylation_imputation,The statistical inference of unobserved DNA methylation marks.,,STRING,AnalysisType,Analysis
EWAS,epigenome-wide association study,,STRING,AnalysisType,Analysis
Enrichment_analysis,Over-representation analysis.,,STRING,AnalysisType,Analysis
Gene_expression_comparison,Comparison of gene expression profiles.,,STRING,AnalysisType,Analysis
Genome-Wide_Association,"An analysis comparing the allele frequencies of all available (or a whole GENOME representative set of) polymorphic markers in unrelated patients with a specific symptom or disease condition, and those of healthy controls to identify markers associated with a specific disease or condition.",,STRING,AnalysisType,Analysis
Mendelian_randomization_analysis,The use of the genetic variation of known functions or phenotypes to correlate the causal effects of those functions or phenotypes with a disease outcome.,,STRING,AnalysisType,Analysis
Polygenic_Risk_Scores,A sample level estimate of the genetic component of disease risk based on genome-wide association studies.,,STRING,AnalysisType,Analysis
Sequence_alignment,Alignment of reads to a reference genome,,STRING,AnalysisType,Analysis
Supervised_Machine_Learning,A machine learning paradigm used to make predictions about future instances based on a given set of labeled paired input-output training (sample) data.,,STRING,AnalysisType,Analysis
Variant_calling,"Identify and map genomic alterations, including single nucleotide polymorphisms, short indels and structural variants, in a genome sequence.",,STRING,AnalysisType,Analysis
assessment,"The final result of a determination of the value, significance, or extent of.",,STRING,AnalysisType,Analysis
batch_effect_correction,Adjustment of variable of interest for batch effects.,,STRING,AnalysisType,Analysis
chromatin_accessible_quantitative_trait_loci_detection,Chromatin accessible quantitative trait locus analysis. Also abbreviated caQTL or chQTL.,,STRING,AnalysisType,Analysis
comparison,The examination of two or more people or things in order to detect similarities and differences.,,STRING,AnalysisType,Analysis
correlation,"The degree to which two or more quantities or events are linearly associated, a statistical relation between two or more variables such that systematic changes in the value of one variable are accompanied by systematic changes in the others.",,STRING,AnalysisType,Analysis
covariate_specification,"A variable specification that specifies a variable used in statistical analysis to correct, adjust, or modify the values of a dependent variable; an independent variable not manipulated by the investigator",,STRING,AnalysisType,Analysis
data_mining,"Use of sophisticated analysis tools to sort through, organize, examine, and combine large sets of information",,STRING,AnalysisType,Analysis
data_normalization,,,STRING,AnalysisType,Analysis
de-novo_assembly,Assembly of reference sequence from short read sequences without external reference genome build.,,STRING,AnalysisType,Analysis
differential_expression,Genes or isoforms that are differentially expressed between two conditions.,,STRING,AnalysisType,Analysis
differential_methylation,Differences in methylation between a test sample and a normal comparison sample.,,STRING,AnalysisType,Analysis
differential_network_analysis,Identification of changes in coexpression patterns between two conditions.,,STRING,AnalysisType,Analysis
dose_response_study,A study of the effect of dose changes on the efficacy of a drug in order to determine the dose-response relationship and optimal dose of a therapy.,,STRING,AnalysisType,Analysis
expression_quantitative_trait_loci_detection,A stretch of DNA at a particular chromosomal location that is able to regulate the expression of a specific mRNA or protein. Abbreviated eQTL.,,STRING,AnalysisType,Analysis
genome-wide_pleiotropy,Analysis of genomic overlap between traits,,STRING,AnalysisType,Analysis
genotype_imputation,The statistical inference of unobserved genotypes.,,STRING,AnalysisType,Analysis
genotypeAncestry,model genetic ancestry from SNP data,,STRING,AnalysisType,Analysis
hidden_confounder_detection,Identification of a hidden or latent variable that may be inflating the type I error rate due to mutual correlation between dependent and independent variable that are being tested.,,STRING,AnalysisType,Analysis
