Attribute,Description,Required,columnType,DependsOn,Source,Parent,Valid Values
captivityDuration,"The duration of captivity in months for the individuals in captivity (formatted in months, ex. 72 months). note: Applicable only to animals with captivity status captive.",False,,,"-The%20duration%20of,captivity%20duration,https://www.animalaudiograms.org/audiogram_metadata_scheme#:~:text=species%20are%20possible.-",ManifestColumn,"Not applicable, Not collected,Unknown"
captivityStatus,"The status of the individual with regard to captivity. note: Wild, captive, and stranded values are applicable, especially for marine mammals. Depending on life stage terminology for individual species, other are possible. Please let the data curation team know.",True,,,"-The%20status%20of,captivity%20status,https://www.animalaudiograms.org/audiogram_metadata_scheme#:~:text=of%20the%20animal.-",ManifestColumn,"Not applicable, Not collected, Other, Stranded, Unknown, Wild,CaptiveCaptivityStatus"
cohort,Name of the cohort the individual belongs to,True,,,Sage Bionetworks,ManifestColumn,"Cardiovascular Health Study (CHS), Denmark Family, Not applicable, Not collected, Other, Study of Osteoporotic Fractures (SOF), The Health and Aging and Body Composition Study (HealthABC), The Osteoporotic Fractures in Men (MrOS) Study, US Family, Unknown,Centenarian"
commonName,"The biological species common name the individual belongs to (ex. ""Horned Lark"").note: As a default, the valid scientific name for the species should be indicated. ",True,,,https://www.ebi.ac.uk/ols4/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Fdata_1874,ManifestColumn,
individualID,"Identifying string linked to the individual or animal being studied, provided by the data contributor",True,,,Sage Bionetworks,ManifestColumn,
lifeStage,The life stage of the individual. note: Other are possible depending on life stage terminology for individual species. Please let the data curation team know.,True,,,"-The%20life%20stage,Biological Collections Ontology,https://www.animalaudiograms.org/audiogram_metadata_scheme#:~:text=range%3A%20female%3B%20male-,https://www.ebi.ac.uk/ols/ontologies/pato,life%20stage",ManifestColumn,"Adult, Not applicable, Not collected, Other, Post-Juvenile, Unknown,Juvenile"
sex,The biological sex of the individual,True,,,"Sage Bionetworks,https://www.synapse.org/#!Synapse:syn25878249",ManifestColumn,"Female, Not applicable, Not collected, Other, Unknown,Male"
speciesAge,"Age of individual (formatted in months, ex. ""72 months""). note: Uncertainty about the age might require recording age by specifying a lower and upper estimate in months for the age of the animal.",True,,,"-The%20age%20of,Sage Bionetworks,age,https://www.animalaudiograms.org/audiogram_metadata_scheme#:~:text=species%20are%20possible.-",ManifestColumn,"Not applicable, Not collected,Unknown"
speciesGroup,The taxonomic ranking including both species and subspecies the individual belongs to.,True,,,https://ontobee.org/ontology/NCITiri=http://purl.obolibrary.org/obo/NCIT_C62690https://www.ebi.ac.uk/ols/ontologies/edam/termsiri=http%3A%2F%2Fedamontology.org%2Fdata_1045,ManifestColumn,"Bird, Mammal, Not applicable, Not collected, Other, Primate, Rodent, Unknown,Human"
speciesName,"The scientific name of the species (typically a taxonomic group, ex. ""Eremophila alpestris"") the individual belongs to.",True,,,https://www.ebi.ac.uk/ols4/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Fdata_1045,ManifestColumn,
taxon,"Taxonomic identifier. The National Center for Biotechnology Information taxon ID (formatted as, ex. ""txid9989"")",True,,,"http://edamontology.org/data_1179,http://purl.obolibrary.org/obo/TAXRANK_0000010,https://www.ncbi.nlm.nih.gov/taxonomy",ManifestColumn,
studyKey,Short name of studies found in project,,,,,ValidValue,"Aging-PheWAS, ELPSCRNA, LLFS, MRGWAS, NECS, Organoid scRNAseq,ADAMTS7"
