Attribute,Description,Required,columnType,DependsOn,Source,Parent,Valid Values
captivityDuration,"The duration of captivity in months for the individuals in captivity (formatted in months, ex. 72 months).note- Applicable only to animals with captivity status captive.",False,STRING,,,ManifestColumn,
captivityStatus,"The status of the individual with regard to captivity.note- Wild, captive, and stranded values are applicable, especially for marine mammals. Depending on life stage terminology for individual species, other values are possible. Please let the data curation team know.",True,STRING,,,ManifestColumn,"Captive,Stranded,Wild"
cohort,Name of the cohort the individual belongs to,True,STRING,,,ManifestColumn,
commonName,"The biological species common name the individual belongs to (ex. ""Horned Lark""). note- As a default, the valid scientific name for the species should be indicated.",True,STRING,,,ManifestColumn,
individualID,"Identifying string linked to the individual or animal being studied, provided by the data contributor",True,STRING,,,ManifestColumn,
lifeStage,The life stage of the individual.note- Other values are possible depending on life stage terminology for individual species. Please let the data curation team know.,True,STRING,,,ManifestColumn,"Juvenile,Post-Juvenile,Adult"
sex,The biological sex of the individual,True,STRING,,,ManifestColumn,"Male,Female, Other, Not Available, Not Applicable, Unknown"
speciesAge,"Age of individual (formatted in months, ex. ""72 months"").note- Uncertainty about the age might require recording age by specifying a lower and upper estimate in months for the age of the animal.",True,STRING,,,ManifestColumn,
speciesGroup,The taxonomic ranking including both species and subspecies the individual belongs to.,True,STRING,,,ManifestColumn,"Human,Rodent,Bird,Mammal,Primate"
speciesName,"The scientific name of the species (typically a taxonomic group, ex. ""Eremophila alpestris) the individual belongs to.""""""",True,STRING,,,ManifestColumn,
studyCode,"Unique identifier for the study, assigned by the DCC",True,STRING,,,ManifestColumn,"LC,LG,ILO,LLFS"
taxon,"Taxonomic identifier. The National Center for Biotechnology Information taxon ID (formatted as, ex. ""txid9989"")",True,STRING,,,ManifestColumn,
