Key,Key Description,Type,Valid Values,DependsOn,Required,Source,Parent
AFU,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
AI,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
Appendix,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
BGISEQ-500,"The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.,The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor",STRING,,,False,"DSLWG,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C45378",unspecified
Basophils,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
Bone,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
C,"Unit of gas flow temperature,Unit of treatment temperature",STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",unspecified
Carbohydrate,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
Colon,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
DDA-MS,"Specified the mass spectrometer technique used or the name of the Proteomics assay used (ex. DDA),Specified the mass spectrometer technique used",STRING,,,False,"DSLWG,Sage Bionetworks",unspecified
DIA-MS,"Specified the mass spectrometer technique used or the name of the Proteomics assay used (ex. DDA),Specified the mass spectrometer technique used",STRING,,,False,"DSLWG,Sage Bionetworks",unspecified
DNA,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
Dermis,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
Epithelium,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
F,"Unit of gas flow temperature,Unit of treatment temperature",STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",unspecified
FIA-MSMS,"Specified the mass spectrometer technique used or the name of the Proteomics assay used (ex. DDA),Specified the mass spectrometer technique used",STRING,,,False,"DSLWG,Sage Bionetworks",unspecified
Feces,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
Fibroblast,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
GIS,Control samples suitable for normalization and batch correction,STRING,,,False,https://doi.org/10.1101/2020.05.19.105197https://doi.org/10.1038/sdata.2017.140https://www-s.nist.gov/srmors/view_detail.cfmsrm=1950Sage BionetworksDSLWG,unspecified
GoldenWest,Control samples suitable for normalization and batch correction,STRING,,,False,https://doi.org/10.1101/2020.05.19.105197https://doi.org/10.1038/sdata.2017.140https://www-s.nist.gov/srmors/view_detail.cfmsrm=1950Sage BionetworksDSLWG,unspecified
HAU,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
HMDB,"The name of the search database (nr, SwissProt or est_human, and/or mass spectral library).",STRING,,,False,http://purl.obolibrary.org/obo/MS_1001013,unspecified
HPLC-MSMS,"Specified the mass spectrometer technique used or the name of the Proteomics assay used (ex. DDA),Specified the mass spectrometer technique used",STRING,,,False,"DSLWG,Sage Bionetworks",unspecified
IU,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
Ileum,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
Jejunum,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
K,"Unit of gas flow temperature,Unit of treatment temperature",STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",unspecified
Kidney,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
LC-MS,"Specified the mass spectrometer technique used or the name of the Proteomics assay used (ex. DDA),Specified the mass spectrometer technique used",STRING,,,False,"DSLWG,Sage Bionetworks",unspecified
LC-MSMS,"Specified the mass spectrometer technique used or the name of the Proteomics assay used (ex. DDA),Specified the mass spectrometer technique used",STRING,,,False,"DSLWG,Sage Bionetworks",unspecified
LC-SRMOtherMsAssayTechniqueMsAssayTechnique,"Specified the mass spectrometer technique used or the name of the Proteomics assay used (ex. DDA),Specified the mass spectrometer technique used",STRING,,,False,"DSLWG,Sage Bionetworks",unspecified
Leukocytes,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
Lipid,"the type of biospecimen subjected to analysis,The type of sample collected",STRING,,,False,"ImmPort,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C156434",unspecified
Liver,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
Lung,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
Lymphocyte,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
M,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
MDMS-SL,"Specified the mass spectrometer technique used or the name of the Proteomics assay used (ex. DDA),Specified the mass spectrometer technique used",STRING,,,False,"DSLWG,Sage Bionetworks",unspecified
