Key,Key Description,Valid Values,columnType,Parent,Module
acquisitionMode,"The specific aspect of a mass spectrometer method by which mass ranges are selected and possibly dissociated (full scan, MSn, SIM, MRM, etc.).,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",,string,ManifestColumn,Metadata
acquisitionSoftware,"The name of the acquisition software used.,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",,string,ManifestColumn,Metadata
acquistionSoftwareVersion,"The version number of software used.,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",,number,ManifestColumn,Metadata
age,"Age of the individual (age in years of the individual at first recorded study event (enrollment, visit, observation, sample collection, survey completion, etc.)",,,ManifestColumn,Metadata
American_Indian_or_Alaska_Native,,,,Demographics,Metadata
Asian,,,,Demographics,Metadata
assay,The analysis or technology used to generate the data in this file,"16SrRNAseq, ATACSeq, Baker Lipidomics, Biocrates Bile Acids, Biocrates Q500, Biocrates p180, Blood Chemistry Measurement, CITESeq, CUT&Tag, ChIPSeq, DIA, DNA optical mapping, ELISA, FIA-MSMS, FitBark, Genotyping, HI-C, HPLC, HPLC-MSMS, HiChIPseq, ISOSeq, Immunocytochemistry, LC-MS, LC-MSMS, LC-SRM, LFP, LTP, Laser Speckle Imaging, MDMS-SL, MIB/MS, MRI, Metabolon, MudPIT, NOMe-Seq, Nightingale NMR, Positron Emission Tomography, RPPA, Rader Lipidomics, Real Time PCR, Ribo-Seq, STARRSeq, Sanger sequencing, SiMoA, TMT quantitation, UC Davis GCTOF, UCSD Untargeted Metabolomics, UPLC-ESI-QTOF-MS, UPLC-MSMS, Vernier Caliper, Wishart Catecholamines, Wishart High Value Metabolites, Zeno Electronic Walkway, active avoidance learning behavior, anxiety-related behavior, atomicForceMicroscopy, autoradiography, bisulfiteSeq, brightfieldMicroscopy, cellViabilityAssay, contextual conditioning behavior, electrochemiluminescence, elevated T maze apparatus method, elevated plus maze test, errBisulfiteSeq, exomeSeq, frailty assessment, high content screen, immunofluorescence, immunohistochemistry, in vivo bioluminescence, jumpingLibrary, kinesthetic behavior, label free mass spectrometry, lentiMPRA, liquid chromatography-electrochemical detection, lncrnaSeq, locomotor activation behavior, long-read rnaSeq, m6A-rnaSeq, mRNAcounts, memory behavior, methylationArray, microRNAcounts, mirnaArray, mirnaSeq, nextGenerationTargetedSequencing, novelty response behavior, open field test, oxBS-Seq, pharmacodynamics, pharmacokinetics, photograph, polymeraseChainReaction, proximity extension assay, questionnaire, rnaArray, rnaSeq, rotarod performance test, sandwich ELISA, scATACSeq, scCGIseq, scale, scirnaSeq, scrnaSeq, scwholeGenomeSeq, snATACSeq, snpArray, snrnaSeq, spontaneous alternation, tractionForceMicroscopy, von Frey test, westernBlot, wheel running, whole-cell patch clamp, wholeGenomeSeq,10x multiome",,ManifestColumn,Metadata
batchSize,The number of samples,,number,ManifestColumn,Metadata
batchSizeUnit,The unit of measurement for number of samples in a batch,"AI, AU/ml, DK units/ml, HAU, IU, IU/ml, Kallikrein Inactivator Unit per Milliliter, M, MOI, NPX, Not Specified, OtherBatchSizeUnit, PFU, PFUe, Pound, TCID50, bpg/dl, g/l, gm, iu/l, kg, l, mM, mg, mg/dl, mg/l, mg/ml, miu/ml, ml, nM, ng, ng/dl, ng/ml, ng/nl, ng/ul, nl, optical density, pM, pg, pg/mg creatinine, pg/ml, pg/nl, pg/ul, pl, uM, ug, ug/dl, ug/l, ug/ml, ug/ul, uiu/ml, ul, umol/l, units/ml,AFU,AI,AU/ml,DK units/ml,HAU,IU,IU/ml,Kallikrein Inactivator Unit per Milliliter,M,MOI,NPX,Not Specified,OtherBatchSizeUnit ,PFU,PFUe,Pound,TCID50,bp,g/dl,g/l,gm,iu/l,kg,l,mM,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,nM,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,optical density,pM,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,uM,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,umol/l,units/ml",string,ManifestColumn,Metadata
Black_or_African_American,,,,Demographics,Metadata
