Key,Key Description,Type,Source,Module
Abdominal Skin,nan,,nan,Metadata
Accessory Lacrimal Gland,nan,,nan,Metadata
Adrenal Gland,nan,,nan,Metadata
Alveolar Duct,nan,,nan,Metadata
Anal Gland,nan,,nan,Metadata
Anal Sac,nan,,nan,Metadata
Ankle Skin,nan,,nan,Metadata
Anterior Compartment Lymph Node Group (Level VI),nan,,nan,Metadata
Anterior Mediastinal Lymph Node,nan,,nan,Metadata
Aortocaval Lymph Node,nan,,nan,Metadata
Aortopulmonary Window Lymph Node,nan,,nan,Metadata
Apocrine Sweat Gland,nan,,nan,Metadata
Arm Skin,nan,,nan,Metadata
Axillary Lymph Node,nan,,nan,Metadata
Axillary Lymph Node Level I,nan,,nan,Metadata
Axillary Lymph Node Level II,nan,,nan,Metadata
Axillary Lymph Node Level III,nan,,nan,Metadata
Bartholin Gland,nan,,nan,Metadata
Bile Duct,nan,,nan,Metadata
Biliary Tract,nan,,nan,Metadata
Bladder,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
Bone Marrow,nan,,nan,Metadata
