Key,Key Description,Valid Values,columnType,Parent,Module
Not applicable,,,,ValidValue,Other
Not collected,,,,ValidValue,Other
Not Specified,,,,ValidValue,Other
Other,,,,ValidValue,Other
OtherAcquisitionBatchSizeUnit,"If ""other"" list units of measure",,,ValidValue,Other
OtherBatchSizeUnit,"If ""other"" list the unit of measure",,,ValidValue,Other
OtherCleavageAgents,"If ""other"" is selected, list the enzyme name. ",,,ValidValue,Other
OtherControlType,"If ""other"" specify the control type",,,ValidValue,Other
OtherConversionRatioUnits,,,,ValidValue,Other
OtherDatabaseName,"If ""other"" list the name of the search database",,,ValidValue,Other
OtherDatabaseSource,"If ""other"" list the name of the database source",,,ValidValue,Other
OtherDigestionMethod,"If ""other"" list the type of digestion",,,ValidValue,Other
OtherDnaBatchSizeUnit,"If ""other"" list unit of measure",,,ValidValue,Other
OtherExperiementalBatchSizeUnit,,,,ValidValue,Other
OtherExperimentalBatchSizeUnit,"If ""other"" list units of measure",,,ValidValue,Other
OtherExtractionMethod,"If ""other"" list the name of the extraction method",,,ValidValue,Other
OtherLensVoltagesUnit,,,,ValidValue,Other
OtherLensVoltageUnits,"If ""other"" provide the unit of measure",,,ValidValue,Other
OtherLibraryPrep,"If ""other"" list the name of the general strategy used to prepare the library",,,ValidValue,Other
OtherLibraryPreparationMethod,"If ""other"" list the name of the library preparation methods",,,ValidValue,Other
OtherLibraryVersion,"If ""other"" list the name of the library version",,,ValidValue,Other
OtherMetabolomics HumanmeasurementTechnique,"If ""other"" is selected list the name of the measurement technique used",,,ValidValue,Other
OtherModificationParameters,"If ""other"" is selected, list the custom modification name. We recommend using an intuitive name",,,ValidValue,Other
OtherMsAnalyteType,"If ""other"" list the type of analyte ",,,ValidValue,Other
OtherMsAnalyzerTypeMS1,"If ""other"" is selected list the name of the mass spectrometer analyzer used",,,ValidValue,Other
OtherMsAnalyzerTypeMS2,"If ""other"" is selected list the name of the mass spectrometer analyzer used",,,ValidValue,Other
OtherMsAssayTechnique,"If ""other"" is selected list the name of the mass spectrometer technique used or the name of the proteomics assay used",,,ValidValue,Other
OtherMsInstrumentModel,"If ""other"" is selected list the name of the instrument model",,,ValidValue,Other
OtherPlatformLocation,"If ""other"" list the name of the platform location",,,ValidValue,Other
OtherProcessingBatchSizeUnit,"If ""other"" list units of measure",,,ValidValue,Other
