Key,Key Description,Type,Source,Module
Abdominal Peritoneum,nan,,nan,Metadata
Accessory Tissue,nan,,nan,Metadata
Acinar Salivary Gland System,nan,,nan,Metadata
Adipose Tissue,nan,,nan,Metadata
Adrenal Cortex,nan,,nan,Metadata
Adrenal Gland Tissue,nan,,nan,Metadata
Adrenal Medulla,nan,,nan,Metadata
Alveolar Duct,nan,,nan,Metadata
Alveolar Epithelium,nan,,nan,Metadata
Alveolar Sac,nan,,nan,Metadata
Alveolar Septum,nan,,nan,Metadata
Anal Mucosa,nan,,nan,Metadata
Aorta Endothelium,nan,,nan,Metadata
Aorta Smooth Muscle Tissue,nan,,nan,Metadata
Arachnoid Membrane,nan,,nan,Metadata
Arterial System Endothelium,nan,,nan,Metadata
Arterial System Smooth Muscle Tissue,nan,,nan,Metadata
Arteriole Endothelium,nan,,nan,Metadata
Arteriole Smooth Muscle Tissue,nan,,nan,Metadata
Artery Endothelium,nan,,nan,Metadata
Artery Smooth Muscle Tissue,nan,,nan,Metadata
Basement Membrane,nan,,nan,Metadata
Basilar Membrane,nan,,nan,Metadata
Basilar Membrane of the Membranous Canal of the Cochlea,nan,,nan,Metadata
Bile Duct Epithelium,nan,,nan,Metadata
Bile Duct Tissue,nan,,nan,Metadata
Bladder Lamina Propria,nan,,nan,Metadata
Bladder Mucosa,nan,,nan,Metadata
Bladder Muscular Coat,nan,,nan,Metadata
Bladder Muscularis Mucosa,nan,,nan,Metadata
Bladder Serosal Surface,nan,,nan,Metadata
Bladder Tissue,nan,,nan,Metadata
Bladder Urothelium,nan,,nan,Metadata
Blood Vessel Endothelium,nan,,nan,Metadata
Blood Vessel Tissue,nan,,nan,Metadata
Bone Matrix,nan,,nan,Metadata
Bone Tissue,nan,,nan,Metadata
Bone Trabeculae,nan,,nan,Metadata
Bowman's Membrane,nan,,nan,Metadata
Brain Arachnoid Membrane,nan,,nan,Metadata
Brain Dura Mater,nan,,nan,Metadata
Brain Gray Matter,nan,,nan,Metadata
Brain Pia Mater,nan,,nan,Metadata
Brain White Matter,nan,,nan,Metadata
Breast Fibroglandular Tissue,nan,,nan,Metadata
Bronchial Epithelium,nan,,nan,Metadata
Bronchiole Epithelium,nan,,nan,Metadata
Bronchus Basement Membrane,nan,,nan,Metadata
Bronchus Connective Tissue,nan,,nan,Metadata
Bronchus Elastic Tissue,nan,,nan,Metadata
Bronchus Lamina Propria,nan,,nan,Metadata
Bronchus Smooth Muscle Tissue,nan,,nan,Metadata
Bronchus Submucosa,nan,,nan,Metadata
Bronchus-Associated Lymphoid Tissue,nan,,nan,Metadata
Brown Adipose Tissue,nan,,nan,Metadata
Buccal Mucosa,nan,,nan,Metadata
Bulbar Conjunctiva,nan,,nan,Metadata
Canalis Radicis Dentis,nan,,nan,Metadata
Capillary Endothelium,nan,,nan,Metadata
Cardiac Tissue,nan,,nan,Metadata
Cartilage Matrix,nan,,nan,Metadata
Cartilaginous Tissue,nan,,nan,Metadata
Cementum,nan,,nan,Metadata
Central Zone of the Prostatic Parenchyma,nan,,nan,Metadata
Cerebellum White Matter,nan,,nan,Metadata
Cerebral Meninges,nan,,nan,Metadata
Cerebral White Matter,nan,,nan,Metadata
Cervix Epithelium,nan,,nan,Metadata
Cervix Glandular Epithelium,nan,,nan,Metadata
Cervix Squamous Epithelium,nan,,nan,Metadata
Choristoma,nan,,nan,Metadata
Choroid,nan,,nan,Metadata
Choroid Plexus Epithelium,nan,,nan,Metadata
Choroid Plexus Epithelium of the Fourth Ventricle,nan,,nan,Metadata
Choroid Plexus Epithelium of the Lateral Ventricle,nan,,nan,Metadata
Ciliary Epithelium,nan,,nan,Metadata
Ciliated Respiratory Mucosa,nan,,nan,Metadata
Classic Lobule,nan,,nan,Metadata
Colonic Mucosa,nan,,nan,Metadata
Columnar Epithelium,nan,,nan,Metadata
Conjunctiva,nan,,nan,Metadata
Conjunctival Epithelium,nan,,nan,Metadata
Connective Tissue,nan,,nan,Metadata
Connective Tissue Component of the Peripheral Nerve,nan,,nan,Metadata
Connective Tissue Proper,nan,,nan,Metadata
Connective and Soft Tissue,nan,,nan,Metadata
Corneal Endothelium,nan,,nan,Metadata
Corneal Epithelium,nan,,nan,Metadata
Corpus Callosum,nan,,nan,Metadata
Cortical Bone,nan,,nan,Metadata
Cortical Cell Layer,nan,,nan,Metadata
Cortical Cell Layer of the Cerebellum,nan,,nan,Metadata
Cortical Cell Layer of the Cerebral Cortex,nan,,nan,Metadata
Crypt Epithelium,nan,,nan,Metadata
Cuboidal Epithelium,nan,,nan,Metadata
Deep Gray Matter,nan,,nan,Metadata
Demineralized Bone Tissue,nan,,nan,Metadata
