Key,Key Description,Valid Values,columnType,Parent,module
_analysisType,,,,,Unknown
_assay,,,,,Unknown
_chromosome,,,,,Unknown
_consortium,,,,,Unknown
_dataSubtype,,,,,Unknown
_dataType,,,,,Unknown
_fileFormat,,,,,Unknown
_grant,,,,,Unknown
_individualID,,,,,Unknown
_isModelSystem,,,,,Unknown
_isMultiSpecimen,,,,,Unknown
_metadataType,,,,,Unknown
_resourceType,,,,,Unknown
_specimenID,,,,,Unknown
_study,,,,,Unknown
Component,,,,,Unknown
Filename,,,,,Unknown
accessReqs,,,,,Unknown
ackContext,,,,,Unknown
acknowledgment,,,,,Unknown
acquistionSoftwareVersion,,,,,Unknown
batchSizeUnit,,,,,Unknown
experimentalBatchSize,,,,,Unknown
grantNumber,,,,,Unknown
isFeatured,,,,,Unknown
isReleased,,,,,Unknown
metadataType,,,,,Unknown
methods,,,,,Unknown
newsRelease,,,,,Unknown
processingBatchSize,,,,,Unknown
processingBatchSizeUnit,,,,,Unknown
projectFullName,,,,,Unknown
relatedStudies,,,,,Unknown
sampleBatchSize,,,,,Unknown
sampleBatchSizeUnit,,,,,Unknown
studyAbstract,,,,,Unknown
studyDescription,,,,,Unknown
studyFocus,,,,,Unknown
studyMetadata,,,,,Unknown
studyName,,,,,Unknown
studyType,,,,,Unknown
studyWiki,,,,,Unknown
