Key,Key Description,Required,columnType,DependsOn,Source,Parent,Valid Values
isStranded,Whether or not the library is stranded.,True,str,,Sage Bionetworks,ManifestColumn,"TRUE, FALSE"
libraryPrep,The general strategy by which the library was prepared,True,,,Sage Bionetworks,ManifestColumn,"amplicon, cellHashing, Chromium Single Cell 3', DNALibraryConstruction, EndItDNAEndRepairKit, KapaHyperPrep, lncRNAenrichment, methylSeq, miRNAenrichment, multiome, MULTIseq, PCRfree, polyAselection, proximity ligation, rRNAdepletion, SPLITseq, STARRSeq, SureCell, totalRNA, OtherLibraryPrep, Unknown, Not collected, Not applicable, Not Specified"
libraryPreparationMethod,Method by which library was prepared,True,,,Sage Bionetworks,ManifestColumn,"10x, Accel-NGS 2S Plus, Accel-NGS Methyl-Seq, CEL-seq, Drop-Seq, NEBNext, NexteraXT, Omni-ATAC, sac-seq, Smart-seq1, Smart-seq2, Smart-seq4, SMRTbell, TruSeq, Ultralow Methyl-Seq, OtherLibraryPreparationMethod, Unknown, Not collected, Not applicable, Not Specified"
libraryVersion,"Library Version: for example, rnaSeq 10x library version",True,,,Sage Bionetworks,ManifestColumn,"OtherLibraryVersion, Unknown, Not collected, Not applicable, Not Specified"
platformLocation,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor",True,,,Sage Bionetworks,ManifestColumn,"OtherPlatformLocation, Unknown, Not collected, Not applicable, Not Specified"
readLengthUnits,The units of measurement.,True,,,Sage Bionetworks,ManifestColumn,"AFU, AI, AU/ml, DK units/ml, bpg/dl, g/l, gm, HAU, IU, iu/l, IU/ml, Kallikrein Inactivator Unit per Milliliter, kg, l, M, mg, mg/dl, mg/l, mg/ml, miu/ml, ml, mM, MOI, ng, ng/dl, ng/ml, ng/nl, ng/ul, nl, nM, Not Specified, NPX, optical density, PFU, PFUe, pg, pg/mg creatinine, pg/ml, pg/nl, pg/ul, pl, pM, Pound, TCID50, ug, ug/dl, ug/l, ug/ml, ug/ul, uiu/ml, ul, uM, umol/l, units/ml, OtherReadLengthUnits"
readStrandOrigin,The strand from which the read originates in a strand-specific protocol,True,,,Sage Bionetworks,ManifestColumn,"forward, reverse"
repositoryName,"The public repository name for the transcript (for example, Ensembl or NCBI Gene)",True,,,Sage Bionetworks,ManifestColumn,"ArrayExpress, Broad Single Cell Portal, dbGAP, ENA, Ensembl, FlowRepository, GenBank, GEO, GISAID, IEDB, ImmPort, MassIVE, MetaboLights, Metabolomics Workbench, MGnify, NCBI Gene, PRIDE, SRA, UniProt, OtherRepositoryName, Unknown, Not collected, Not applicable, Not Specified"
resultUnit,The unit for the result value,True,,,Sage Bionetworks,ManifestColumn,"FPKM, RPKM, TPM, Not Specified"
rnaBatchID,"RNA isolation batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",True,,,Sage Bionetworks,ManifestColumn,"Unknown, Not collected, Not applicable, Not Specified"
