Key,Key Description,Type,Source,Module
AFU,,,,Omics
AI,,,,Omics
AU/ml,,,,Omics
DK units/ml,,,,Omics
bpg/dl,,,,Omics
g/l,,,,Omics
gm,,,,Omics
HAU,,,,Omics
IU,,,,Omics
iu/l,,,,Omics
IU/ml,,,,Omics
Kallikrein Inactivator Unit per Milliliter,,,,Omics
kg,,,,Omics
l,,,,Omics
M,,,,Omics
mg,,,,Omics
mg/dl,,,,Omics
mg/l,,,,Omics
mg/ml,,,,Omics
miu/ml,,,,Omics
ml,,,,Omics
mM,,,,Omics
MOI,,,,Omics
ng,,,,Omics
ng/dl,,,,Omics
ng/ml,,,,Omics
ng/nl,,,,Omics
ng/ul,,,,Omics
nl,,,,Omics
nM,,,,Omics
Not Specified,,,,Omics
NPX,,,,Omics
optical density,,,,Omics
PFU,,,,Omics
PFUe,,,,Omics
pg,,,,Omics
pg/mg creatinine,,,,Omics
pg/ml,,,,Omics
pg/nl,,,,Omics
pg/ul,,,,Omics
pl,,,,Omics
pM,,,,Omics
Pound,,,,Omics
TCID50,,,,Omics
ug,,,,Omics
ug/dl,,,,Omics
ug/l,,,,Omics
ug/ml,,,,Omics
ug/ul,,,,Omics
uiu/ml,,,,Omics
ul,,,,Omics
uM,,,,Omics
umol/l,,,,Omics
units/ml,,,,Omics
OtherAcquisitionBatchSizeUnit,,,,Omics
