Key,Key Description,Type,Source,Parent
NotSpecified,,STRING,,unspecified
Notapplicable,,STRING,,unspecified
Notcollected,,STRING,,unspecified
Unknown,nan,STRING,nan,unspecified
dataindependentacquisitionfromdissociationoffullmassrange,,STRING,,unspecified
dataindependentacquisitionfromdissociationoffullmassrangeafterionmobilityseparation,,STRING,,unspecified
dataindependentacquisitionfromdissociationofscanningquadrupoleacrossmassrange,,STRING,,unspecified
dataindependentacquisitionfromdissociationofsequentialmassranges,,STRING,,unspecified
dataindependentacquisitionfromdissociationofsequentialmassrangesafterionmobilityseparation,,STRING,,unspecified
datadependentacquisition,,STRING,,unspecified
selectedionmonitoring,,STRING,,unspecified
selectedreactionmonitoring,,STRING,,unspecified
