Key,Key Description,Type,Source,Parent
4000SeriesExplorerSoftware,,STRING,,unspecified
4700Explorer,,STRING,,unspecified
6300SeriesIonTrapDataAnalysisSoftware,,STRING,,unspecified
Analyst,,STRING,,unspecified
ChromaTOFHRTsoftware,,STRING,,unspecified
ChromaTOFsoftware,,STRING,,unspecified
DataExplorer,,STRING,,unspecified
FlexControl,,STRING,,unspecified
GPSExplorer,,STRING,,unspecified
HCTcontrol,,STRING,,unspecified
MALDISolutions,,STRING,,unspecified
MALDISolutionsLCMALDI,,STRING,,unspecified
MALDISolutionsMicrobialIdentification,,STRING,,unspecified
MassHunterDataAcquisition,,STRING,,unspecified
MassHunterEasyAccess,,STRING,,unspecified
MassLynx,,STRING,,unspecified
NotSpecified,,STRING,,unspecified
Notapplicable,,STRING,,unspecified
Notcollected,,STRING,,unspecified
SCIEXTOF/TOFSeriesExplorerSoftware,,STRING,,unspecified
Unknown,nan,STRING,nan,unspecified
VoyagerBiospectrometryWorkstationSystem,,STRING,,unspecified
Xcalibur,,STRING,,unspecified
apexControl,,STRING,,unspecified
dpControl,,STRING,,unspecified
esquireControl,,STRING,,unspecified
micrOTOFcontrol,,STRING,,unspecified
spControl,,STRING,,unspecified
watersconnect,,STRING,,unspecified
