Key,Key Description,columnType,Source,Parent
Clustering,,,,BaseAnnotation
 Copy number estimation,,,,BaseAnnotation
 DNA methylation imputation,,,,BaseAnnotation
 EWAS,,,,BaseAnnotation
 Enrichment analysis,,,,BaseAnnotation
 Gene expression comparison,,,,BaseAnnotation
 Genome-Wide Association,,,,BaseAnnotation
 Mendelian randomization analysis,,,,BaseAnnotation
 Polygenic Risk Scores,,,,BaseAnnotation
 Sequence alignment,,,,BaseAnnotation
 Supervised Machine Learning,,,,BaseAnnotation
 Variant calling,,,,BaseAnnotation
 assessment,,,,BaseAnnotation
 batch effect correction,,,,BaseAnnotation
 chromatin accessible quantitative trait loci detection,,,,BaseAnnotation
 comparison,,,,BaseAnnotation
 correlation,,,,BaseAnnotation
 covariate specification,,,,BaseAnnotation
 data mining,,,,BaseAnnotation
 data normalization,,,,BaseAnnotation
 de-novo assembly,,,,BaseAnnotation
 differential expression,,,,BaseAnnotation
 differential methylation,,,,BaseAnnotation
 differential network analysis,,,,BaseAnnotation
 dose response study,,,,BaseAnnotation
 expression quantitative trait loci detection,,,,BaseAnnotation
 genome-wide pleiotropy,,,,BaseAnnotation
 genotype imputation,,,,BaseAnnotation
 genotypeAncestry,,,,BaseAnnotation
 hidden confounder detection,,,,BaseAnnotation
 manifold learning,,,,BaseAnnotation
 methylation quantitative trait loci detection,,,,BaseAnnotation
 network analysis,,,,BaseAnnotation
 network driver detection,,,,BaseAnnotation
 outlier detection,,,,BaseAnnotation
 peak calling,,,,BaseAnnotation
 principal component analysis,,,,BaseAnnotation
 protein quantitative trait loci detection,,,,BaseAnnotation
 purity,,,,BaseAnnotation
 quality control,,,,BaseAnnotation
 search engine output files,,,,BaseAnnotation
 somatic mutation calling,,,,BaseAnnotation
 statistical network reconstruction,,,,BaseAnnotation
 structural variation detection,,,,BaseAnnotation
 transcript quantification,,,,BaseAnnotation
 variancePartition,,,,BaseAnnotation
 visualization,,,,BaseAnnotation
ANOVA,,,,BaseAnnotation
