Key,Key Description,columnType,Source,Parent
Astro L1 FGFR3 SERPINI2 primary motor cortex astrocyte (Hsap),,,,ManifestColumn
 Astro L1-6 FGFR3 AQP1 primary motor cortex astrocyte (Hsap),,,,ManifestColumn
 Astro L1-6 FGFR3 PLCG1 primary motor cortex astrocyte (Hsap),,,,ManifestColumn
 B cell,,,,ManifestColumn
 B cell zone reticular cell,,,,ManifestColumn
 Bergmann glial cell,,,,ManifestColumn
 CD14-low,,,,ManifestColumn
 CD14-positive,,,,ManifestColumn
 CD14-positive monocyte,,,,ManifestColumn
 CD141-positive myeloid dendritic cell,,,,ManifestColumn
 CD16-low monocyte,,,,ManifestColumn
 CD16-negative,,,,ManifestColumn
 CD16-positive monocyte,,,,ManifestColumn
 CD19-positive,,,,ManifestColumn
 CD1c-positive myeloid dendritic cell,,,,ManifestColumn
 CD4-negative,,,,ManifestColumn
 CD4-positive,,,,ManifestColumn
 CD4-positive helper T cell,,,,ManifestColumn
 CD45RO-positive,,,,ManifestColumn
 CD56-bright natural killer cell,,,,ManifestColumn
 CD8-alpha alpha positive,,,,ManifestColumn
 CD8-alpha-alpha-positive,,,,ManifestColumn
 CD8-alpha-beta-positive,,,,ManifestColumn
 CD8-negative,,,,ManifestColumn
 CD8-positive,,,,ManifestColumn
 CD8aa(I) thymocyte,,,,ManifestColumn
 CD8aa(II) thymocyte,,,,ManifestColumn
 CD8alpha-negative thymic conventional dendritic cell,,,,ManifestColumn
 CD8alpha-positive thymic conventional dendritic cell,,,,ManifestColumn
 CNS interneuron,,,,ManifestColumn
 Endo L2-5 NOSTRIN SRGN primary motor cortex endothelial cell (Hsap),,,,ManifestColumn
 Exc L2 LAMP5 KCNG3 primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L2 LINC00507 ATP7B primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L2 LINC00507 GLRA3 primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L2-3 LINC00507 DSG3 primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L2-3 RORB CCDC68 primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L2-3 RORB PTPN3 primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L2-3 RORB RTKN2 primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L3 LAMP5 CARM1P1 primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L3 RORB OTOGL primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L3 THEMIS ENPEP primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L3-5 FEZF2 ASGR2 primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L3-5 FEZF2 LINC01107 primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L3-5 RORB LAMA4 primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L3-5 RORB LINC01202 primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L3-5 RORB LNX2 primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L3-5 RORB RPRM primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L3-5 RORB TNNT2 primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L5 FEZF2 CSN1S1 primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L5 FEZF2 NREP-AS1 primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L5 FEZF2 PKD2L1 primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L5 FEZF2 RNF144A-AS1 primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L5 RORB MED8 primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L5 THEMIS FGF10 primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L5 THEMIS LINC01116 primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L5 THEMIS RGPD6 primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L5 THEMIS SLC22A18 primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L5 THEMIS VILL primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L5-6 FEZF2 C9orf135-AS1 primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L5-6 FEZF2 CFTR primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L5-6 FEZF2 FILIP1L primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L5-6 FEZF2 IFNG-AS1 primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L5-6 FEZF2 LPO primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L5-6 FEZF2 OR1L8 primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L5-6 FEZF2 SH2D1B primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L5-6 THEMIS SMYD1 primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L5-6 THEMIS TNFAIP6 primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L6 FEZF2 FFAR4 primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L6 FEZF2 KLK7 primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L6 FEZF2 PDYN primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L6 FEZF2 POGK primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L6 FEZF2 PROKR2 primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L6 THEMIS LINC00343 primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L6 THEMIS SLN primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 Exc L6 THEMIS SNTG2 primary motor cortex glutamatergic neuron (Hsap),,,,ManifestColumn
 GABAergic interneuron,,,,ManifestColumn
 Hofbauer cell,,,,ManifestColumn
 Inh L1 LAMP5 BMP2 primary motor cortex GABAergic interneuron (Hsap),,,,ManifestColumn
 Inh L1 LAMP5 NMBR primary motor cortex GABAergic interneuron (Hsap),,,,ManifestColumn
 Inh L1 LAMP5 PVRL2 primary motor cortex GABAergic interneuron (Hsap),,,,ManifestColumn
 Inh L1 LAMP5 RAB11FIP1 primary motor cortex GABAergic interneuron (Hsap),,,,ManifestColumn
 Inh L1 PAX6 CHRFAM7A primary motor cortex GABAergic interneuron (Hsap),,,,ManifestColumn
 Inh L1 PAX6 MIR101-1 primary motor cortex GABAergic interneuron (Hsap),,,,ManifestColumn
 Inh L1 PVALB-like SST ASIC4 primary motor cortex GABAergic interneuron (Hsap),,,,ManifestColumn
 Inh L1 SST DEFB108B primary motor cortex GABAergic interneuron (Hsap),,,,ManifestColumn
 Inh L1 SST P4HA3 primary motor cortex GABAergic interneuron (Hsap),,,,ManifestColumn
 Inh L1 VIP KLHDC8B primary motor cortex GABAergic interneuron (Hsap),,,,ManifestColumn
 Inh L1-2 PVALB CDK20 primary motor cortex GABAergic interneuron (Hsap),,,,ManifestColumn
 Inh L1-2 SST CCNJL primary motor cortex GABAergic interneuron (Hsap),,,,ManifestColumn
 Inh L1-2 SST CLIC6 primary motor cortex GABAergic interneuron (Hsap),,,,ManifestColumn
 Inh L1-2 SST PRRT4 primary motor cortex GABAergic interneuron (Hsap),,,,ManifestColumn
 Inh L1-2 VIP EXPH5 primary motor cortex GABAergic interneuron (Hsap),,,,ManifestColumn
 Inh L1-2 VIP HTR3A primary motor cortex GABAergic interneuron (Hsap),,,,ManifestColumn
 Inh L1-2 VIP PTGER3 primary motor cortex GABAergic interneuron (Hsap),,,,ManifestColumn
 Inh L1-2 VIP SCML4 primary motor cortex GABAergic interneuron (Hsap),,,,ManifestColumn
 Inh L1-2 VIP WNT4 primary motor cortex GABAergic interneuron (Hsap),,,,ManifestColumn
 Inh L1-3 SST FAM20A primary motor cortex GABAergic interneuron (Hsap),,,,ManifestColumn
 Inh L1-3 VIP CBLN1 primary motor cortex GABAergic interneuron (Hsap),,,,ManifestColumn
 Inh L1-3 VIP CHRNA2 primary motor cortex GABAergic interneuron (Hsap),,,,ManifestColumn
 Inh L1-3 VIP FNDC1 primary motor cortex GABAergic interneuron (Hsap),,,,ManifestColumn
 Inh L1-3 VIP HSPB6 primary motor cortex GABAergic interneuron (Hsap),,,,ManifestColumn
 Inh L1-5 VIP CD27-AS1 primary motor cortex GABAergic interneuron (Hsap),,,,ManifestColumn
 Inh L1-5 VIP LINC01013 primary motor cortex GABAergic interneuron (Hsap),,,,ManifestColumn
 Inh L1-5 VIP PHLDB3 primary motor cortex GABAergic interneuron (Hsap),,,,ManifestColumn
 Inh L1-5 VIP SMOC1 primary motor cortex GABAergic interneuron (Hsap),,,,ManifestColumn
 Inh L1-6 LAMP5 AARD primary motor cortex GABAergic interneuron (Hsap),,,,ManifestColumn
 Inh L1-6 LAMP5 CA1 primary motor cortex GABAergic interneuron (Hsap),,,,ManifestColumn
 Inh L1-6 LAMP5 NES primary motor cortex GABAergic interneuron (Hsap),,,,ManifestColumn
