Key,Key Description,Type,Valid Values,DependsOn,Required,Source,Module
individualID,"Identifying string linked to the individual or animal being studied, formatted as [site prefix] + [localID]",,,,True,https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=21.09d&code=C69256&ns=ncit,
familyID,Identifying string linked to the family being studied,,,,False,Sage Bionetworks,
site,Site at which the participant was recruited,STRING,"BCH,TOR,MUN",,True,Sage Bionetworks,Clinical
participantRole,The role of the study participant within the family group,STRING,"Proband,Control,Mother,Father,Sibling",,True,https://ncithesaurus.nci.nih.gov/ncitbrowser/pages/concept_details.jsf?dictionary=NCI_Thesaurus&version=22.07d&code=C71384,Clinical
siblingType,"The type of sibling. If participantRole=sibling, specify sibling type.",STRING,"Full Sibling,Half Sibling",,True,https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C100809&ns=ncit,Clinical
sex,The biological sex of the study participant,STRING,"Female,Male,Unknown",,True,https://ncithesaurus.nci.nih.gov/ncitbrowser/pages/concept_details.jsf?dictionary=NCI_Thesaurus&version=22.07d&code=C28421&ns=ncit,Clinical
ageAtDiagnosis,The age of the participant at diagnosis in years,,,,True,https://ncithesaurus.nci.nih.gov/ncitbrowser/pages/concept_details.jsf?dictionary=NCI_Thesaurus&version=22.07d&code=C156420&ns=ncit,
GIPhenotype,VEOIBD phenotype code indicating the GI diagnosis,STRING,"CD,UC,IBDU,OtherGI,Healthy",,True,Sage Bionetworks,Clinical
immunodeficiencyDiagnosis,Does the study participant have an immunodeficiency diagnosis?,,"Yes,No,Unknown",,False,https://ncithesaurus.nci.nih.gov/ncitbrowser/pages/concept_details.jsf?dictionary=NCI_Thesaurus&version=22.07d&code=C39725&ns=ncit,
autoimmune,Does the study participant have a known autoimmune condition?,,"Yes,No,Unknown",,False,https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C2889,
diseaseActivityLocation,The location of GI disease or activity pertinent to VEOIBD study,STRING,"L1,L1. Ileal,L2,L2. Colonic,L3,L3. Ileocolonic,L4,L4*. Isolated upper disease,E1,E1. Ulcerative proctitis,E2,E2. Left-sided uc,E3,E3. Extensive,E4,E4. Pancolitis",,False,https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C117884,Clinical
upperDiseaseType,"The type of upper GI disease. If diseaseActivityLocation=upper disease, please specify.",STRING,"L4a,L4a. Upper disease proximal to ligament of treitz,L4b,L4b. Upper disease distal to ligament of treitz & proximal to distal 3rd ileum",,False,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8743432/,Clinical
diseaseActivityBehavior,The behavior of GI disease,STRING,"Non-stricturing and non-penetrating,Stricturing,Penetrating,Both penetrating and stricturing,Never severe,Ever severe,Unknown",,False,Sage Bionetworks,Clinical
growthDelay,Has the study participant experienced growth delay?,,"Yes,No,Unknown",,False,https://hpo.jax.org/app/browse/term/HP:0001510,
perianalInvolvement,Is there perianal involvement?,,"Yes,No,Unknown",,False,https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C99148,
extraintestinalManifestationsHistory,Is there a history of extraintestinal manifestations?,,"Yes,No,Unknown",,False,,
GISurgeries,Has the study participant undergone any GI surgeries?,,"Yes,No,Unknown",,False,https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C15330,
IBDHistory,Does the study participant have a family history of IBD?,,"Yes,No,Unknown",,False,https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C3138,
