Key,Key Description,columnType,Source,Parent
Centenarian,,,,ManifestColumn
 US Family,,,,ManifestColumn
 Denmark Family,,,,ManifestColumn
 The Osteoporotic Fractures in Men (MrOS) Study,,,,ManifestColumn
 Study of Osteoporotic Fractures (SOF),,,,ManifestColumn
 The Health and Aging and Body Composition Study (HealthABC),,,,ManifestColumn
 Cardiovascular Health Study (CHS),,,,ManifestColumn
 Other,,,,ManifestColumn
 Unknown,,,,ManifestColumn
 Not collected,,,,ManifestColumn
 Not applicable,,,,ManifestColumn
