Key,Key Description,columnType,Source,Parent
AIBL pool,,string,,ManifestColumn
 Baker pool,,string,,ManifestColumn
 GoldenWest,,string,,ManifestColumn
 NIST SRM 1950,,string,,ManifestColumn
 Not Specified,,string,,ManifestColumn
 Not applicable,,string,,ManifestColumn
 Not collected,,string,,ManifestColumn
 Other,,string,,ManifestColumn
 Unknown,,string,,ManifestColumn
 internal standards,,string,,ManifestColumn
 study pool,,string,,ManifestColumn
 water plus Baker ISTD,,string,,ManifestColumn
GIS,,string,,ManifestColumn
