Key,Key Description,Type,Source,Module
000,nan,,nan,Metadata
004,nan,,nan,Metadata
008,nan,,nan,Metadata
010,nan,,nan,Metadata
012,nan,,nan,Metadata
016,nan,,nan,Metadata
020,nan,,nan,Metadata
024,nan,,nan,Metadata
028,nan,,nan,Metadata
031,nan,,nan,Metadata
032,nan,,nan,Metadata
036,nan,,nan,Metadata
040,nan,,nan,Metadata
044,nan,,nan,Metadata
048,nan,,nan,Metadata
050,nan,,nan,Metadata
051,nan,,nan,Metadata
052,nan,,nan,Metadata
056,nan,,nan,Metadata
058,nan,,nan,Metadata
060,nan,,nan,Metadata
064,nan,,nan,Metadata
068,nan,,nan,Metadata
070,nan,,nan,Metadata
072,nan,,nan,Metadata
074,nan,,nan,Metadata
076,nan,,nan,Metadata
080,nan,,nan,Metadata
084,nan,,nan,Metadata
086,nan,,nan,Metadata
090,nan,,nan,Metadata
092,nan,,nan,Metadata
096,nan,,nan,Metadata
100,nan,,nan,Metadata
104,nan,,nan,Metadata
108,nan,,nan,Metadata
112,nan,,nan,Metadata
116,nan,,nan,Metadata
120,nan,,nan,Metadata
124,nan,,nan,Metadata
132,nan,,nan,Metadata
136,nan,,nan,Metadata
140,nan,,nan,Metadata
144,nan,,nan,Metadata
148,nan,,nan,Metadata
152,nan,,nan,Metadata
156,nan,,nan,Metadata
162,nan,,nan,Metadata
166,nan,,nan,Metadata
170,nan,,nan,Metadata
174,nan,,nan,Metadata
175,nan,,nan,Metadata
178,nan,,nan,Metadata
180,nan,,nan,Metadata
184,nan,,nan,Metadata
188,nan,,nan,Metadata
191,nan,,nan,Metadata
192,nan,,nan,Metadata
196,nan,,nan,Metadata
200,nan,,nan,Metadata
203,nan,,nan,Metadata
204,nan,,nan,Metadata
208,nan,,nan,Metadata
212,nan,,nan,Metadata
214,nan,,nan,Metadata
218,nan,,nan,Metadata
222,nan,,nan,Metadata
226,nan,,nan,Metadata
230,nan,,nan,Metadata
231,nan,,nan,Metadata
232,nan,,nan,Metadata
233,nan,,nan,Metadata
234,nan,,nan,Metadata
238,nan,,nan,Metadata
239,nan,,nan,Metadata
242,nan,,nan,Metadata
246,nan,,nan,Metadata
250,nan,,nan,Metadata
254,nan,,nan,Metadata
258,nan,,nan,Metadata
260,nan,,nan,Metadata
262,nan,,nan,Metadata
266,nan,,nan,Metadata
268,nan,,nan,Metadata
270,nan,,nan,Metadata
275,nan,,nan,Metadata
276,nan,,nan,Metadata
278,nan,,nan,Metadata
288,nan,,nan,Metadata
292,nan,,nan,Metadata
296,nan,,nan,Metadata
300,nan,,nan,Metadata
304,nan,,nan,Metadata
308,nan,,nan,Metadata
312,nan,,nan,Metadata
316,nan,,nan,Metadata
320,nan,,nan,Metadata
324,nan,,nan,Metadata
328,nan,,nan,Metadata
332,nan,,nan,Metadata
334,nan,,nan,Metadata
336,nan,,nan,Metadata
340,nan,,nan,Metadata
344,nan,,nan,Metadata
348,nan,,nan,Metadata
352,nan,,nan,Metadata
356,nan,,nan,Metadata
360,nan,,nan,Metadata
364,nan,,nan,Metadata
368,nan,,nan,Metadata
372,nan,,nan,Metadata
376,nan,,nan,Metadata
380,nan,,nan,Metadata
384,nan,,nan,Metadata
388,nan,,nan,Metadata
392,nan,,nan,Metadata
398,nan,,nan,Metadata
400,nan,,nan,Metadata
404,nan,,nan,Metadata
408,nan,,nan,Metadata
410,nan,,nan,Metadata
414,nan,,nan,Metadata
417,nan,,nan,Metadata
418,nan,,nan,Metadata
422,nan,,nan,Metadata
426,nan,,nan,Metadata
428,nan,,nan,Metadata
430,nan,,nan,Metadata
434,nan,,nan,Metadata
440,nan,,nan,Metadata
442,nan,,nan,Metadata
446,nan,,nan,Metadata
450,nan,,nan,Metadata
454,nan,,nan,Metadata
458,nan,,nan,Metadata
462,nan,,nan,Metadata
466,nan,,nan,Metadata
470,nan,,nan,Metadata
474,nan,,nan,Metadata
478,nan,,nan,Metadata
480,nan,,nan,Metadata
484,nan,,nan,Metadata
490,nan,,nan,Metadata
492,nan,,nan,Metadata
496,nan,,nan,Metadata
498,nan,,nan,Metadata
499,nan,,nan,Metadata
500,nan,,nan,Metadata
504,nan,,nan,Metadata
508,nan,,nan,Metadata
512,nan,,nan,Metadata
516,nan,,nan,Metadata
520,nan,,nan,Metadata
524,nan,,nan,Metadata
528,nan,,nan,Metadata
530,nan,,nan,Metadata
531,nan,,nan,Metadata
533,nan,,nan,Metadata
534,nan,,nan,Metadata
535,nan,,nan,Metadata
536,nan,,nan,Metadata
540,nan,,nan,Metadata
548,nan,,nan,Metadata
554,nan,,nan,Metadata
558,nan,,nan,Metadata
562,nan,,nan,Metadata
566,nan,,nan,Metadata
570,nan,,nan,Metadata
574,nan,,nan,Metadata
578,nan,,nan,Metadata
580,nan,,nan,Metadata
581,nan,,nan,Metadata
582,nan,,nan,Metadata
583,nan,,nan,Metadata
584,nan,,nan,Metadata
585,nan,,nan,Metadata
586,nan,,nan,Metadata
591,nan,,nan,Metadata
598,nan,,nan,Metadata
600,nan,,nan,Metadata
604,nan,,nan,Metadata
608,nan,,nan,Metadata
612,nan,,nan,Metadata
616,nan,,nan,Metadata
620,nan,,nan,Metadata
624,nan,,nan,Metadata
626,nan,,nan,Metadata
634,nan,,nan,Metadata
638,nan,,nan,Metadata
642,nan,,nan,Metadata
643,nan,,nan,Metadata
646,nan,,nan,Metadata
654,nan,,nan,Metadata
659,nan,,nan,Metadata
660,nan,,nan,Metadata
662,nan,,nan,Metadata
666,nan,,nan,Metadata
670,nan,,nan,Metadata
674,nan,,nan,Metadata
678,nan,,nan,Metadata
682,nan,,nan,Metadata
686,nan,,nan,Metadata
690,nan,,nan,Metadata
694,nan,,nan,Metadata
702,nan,,nan,Metadata
703,nan,,nan,Metadata
704,nan,,nan,Metadata
705,nan,,nan,Metadata
706,nan,,nan,Metadata
710,nan,,nan,Metadata
716,nan,,nan,Metadata
720,nan,,nan,Metadata
724,nan,,nan,Metadata
728,nan,,nan,Metadata
729,nan,,nan,Metadata
732,nan,,nan,Metadata
736,nan,,nan,Metadata
740,nan,,nan,Metadata
748,nan,,nan,Metadata
752,nan,,nan,Metadata
756,nan,,nan,Metadata
760,nan,,nan,Metadata
762,nan,,nan,Metadata
764,nan,,nan,Metadata
768,nan,,nan,Metadata
772,nan,,nan,Metadata
776,nan,,nan,Metadata
780,nan,,nan,Metadata
784,nan,,nan,Metadata
788,nan,,nan,Metadata
792,nan,,nan,Metadata
795,nan,,nan,Metadata
796,nan,,nan,Metadata
798,nan,,nan,Metadata
800,nan,,nan,Metadata
804,nan,,nan,Metadata
807,nan,,nan,Metadata
810,nan,,nan,Metadata
818,nan,,nan,Metadata
826,nan,,nan,Metadata
834,nan,,nan,Metadata
837,nan,,nan,Metadata
838,nan,,nan,Metadata
839,nan,,nan,Metadata
840,nan,,nan,Metadata
849,nan,,nan,Metadata
854,nan,,nan,Metadata
858,nan,,nan,Metadata
860,nan,,nan,Metadata
862,nan,,nan,Metadata
876,nan,,nan,Metadata
882,nan,,nan,Metadata
887,nan,,nan,Metadata
890,nan,,nan,Metadata
891,nan,,nan,Metadata
894,nan,,nan,Metadata
898,nan,,nan,Metadata
EAS,nan,,nan,Metadata
EAS,nan,,nan,Metadata
EAS,nan,,nan,Metadata
EAS,nan,,nan,Metadata
ECS,nan,,nan,Metadata
LCN,nan,,nan,Metadata
LCN,nan,,nan,Metadata
LCN,nan,,nan,Metadata
LCN,nan,,nan,Metadata
MEA,nan,,nan,Metadata
MEA,nan,,nan,Metadata
MEA,nan,,nan,Metadata
MEA,nan,,nan,Metadata
NAC,nan,,nan,Metadata
Not applicable,nan,,nan,Metadata
Not collected,nan,,nan,Metadata
Other,nan,,nan,
SAS,nan,,nan,
SAS,nan,,nan,
SAS,nan,,nan,
SAS,nan,,nan,
SSF,nan,,nan,
SSF,nan,,nan,
SSF,nan,,nan,
SSF,nan,,nan,
Unknown,nan,,nan,
