Key,Key Description,columnType,Source,Parent
Volume,,,,ManifestColumn
 Weight,,,,ManifestColumn
 Pharmacokinetic Study,,,,ManifestColumn
 genomicVariants,,,,ManifestColumn
 behavior process,,,,ManifestColumn
 metabolomics,,,,ManifestColumn
 image,,,,ManifestColumn
 geneExpression,,,,ManifestColumn
 isoformExpression,,,,ManifestColumn
 proteomics,,,,ManifestColumn
 kinomics,,,,ManifestColumn
 drugScreen,,,,ManifestColumn
 drugCombinationScreen,,,,ManifestColumn
 cellularPhysiology,,,,ManifestColumn
 chromatinActivity,,,,ManifestColumn
 surveyData,,,,ManifestColumn
 network,,,,ManifestColumn
 clinical,,,,ManifestColumn
 immunoassay,,,,ManifestColumn
 electrophysiology,,,,ManifestColumn
 metagenomics,,,,ManifestColumn
 epigenetics,,,,ManifestColumn
 pharmacology,,,,ManifestColumn
