Key,Key Description,Type,Source,Module
L1,Terminal ileal,STRING,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5990878/,Clinical
L1. Ileal,,STRING,,Clinical
L2,Colonic,STRING,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5990878/,Clinical
L2. Colonic,,STRING,,Clinical
L3,Ileocolonic,STRING,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5990878/,Clinical
L3. Ileocolonic,,STRING,,Clinical
L4,Isolated upper gastrointestinal disease,STRING,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5990878/,Clinical
L4*. Isolated upper disease,,STRING,,Clinical
E1,Ulcerative colitis. Disease limited to rectum (proximal extent of inflammation remains distal to rectosigmoid junction),STRING,https://www.dynamed.com/condition/ulcerative-colitis-in-children,Clinical
E1. Ulcerative proctitis,,STRING,,Clinical
E2,Left-sided ulcerative colitis (distal ulcerative colitis). Inflammation remains distal to splenic flexure.,STRING,https://www.dynamed.com/condition/ulcerative-colitis-in-children,Clinical
E2. Left-sided uc,,STRING,,Clinical
E3,Extensive (hepatic flexure distally),STRING,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3979067/,Clinical
E3. Extensive,,STRING,,Clinical
E4,Pancolitis (proximal to hepatic flexure),STRING,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3979067/,Clinical
E4. Pancolitis,,STRING,,Clinical
