Key,Key Description,Type,Source,Parent
AFU,,,,DataProperty
AI,,,,DataProperty
AU/ml,,,,DataProperty
DK units/ml,,,,DataProperty
bpg/dl,,,,DataProperty
g/l,,,,DataProperty
gm,,,,DataProperty
HAU,,,,DataProperty
IU,,,,DataProperty
iu/l,,,,DataProperty
IU/ml,,,,DataProperty
Kallikrein Inactivator Unit per Milliliter,,,,DataProperty
kg,,,,DataProperty
l,,,,DataProperty
M,,,,DataProperty
mg,,,,DataProperty
mg/dl,,,,DataProperty
mg/l,,,,DataProperty
mg/ml,,,,DataProperty
miu/ml,,,,DataProperty
ml,,,,DataProperty
mM,,,,DataProperty
MOI,,,,DataProperty
ng,,,,DataProperty
ng/dl,,,,DataProperty
ng/ml,,,,DataProperty
ng/nl,,,,DataProperty
ng/ul,,,,DataProperty
nl,,,,DataProperty
nM,,,,DataProperty
Not Specified,,,,DataProperty
NPX,,,,DataProperty
optical density,,,,DataProperty
PFU,,,,DataProperty
PFUe,,,,DataProperty
pg,,,,DataProperty
pg/mg creatinine,,,,DataProperty
pg/ml,,,,DataProperty
pg/nl,,,,DataProperty
pg/ul,,,,DataProperty
pl,,,,DataProperty
pM,,,,DataProperty
Pound,,,,DataProperty
TCID50,,,,DataProperty
ug,,,,DataProperty
ug/dl,,,,DataProperty
ug/l,,,,DataProperty
ug/ml,,,,DataProperty
ug/ul,,,,DataProperty
uiu/ml,,,,DataProperty
ul,,,,DataProperty
uM,,,,DataProperty
umol/l,,,,DataProperty
units/ml,,,,DataProperty
OtherDnaBatchSizeUnit,,,,DataProperty
