Key,Key Description,Type,Valid Values,DependsOn,Required,Source,Parent
AFU,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
AI,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
Appendix,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
Basophils,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
Bone,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
C,"Unit of gas flow temperature,Unit of treatment temperature",STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",unspecified
Carbohydrate,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
Colon,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
DNA,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
Days,Unit of treatment duration,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
Dermis,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
Epithelium,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
F,"Unit of gas flow temperature,Unit of treatment temperature",STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",unspecified
Feces,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
Fibroblast,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
HAU,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
Hours,Unit of treatment duration,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
IU,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
Ileum,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
Jejunum,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
K,"Unit of gas flow temperature,Unit of treatment temperature",STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",unspecified
Kidney,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
Leukocytes,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
Lipid,"the type of biospecimen subjected to analysis,The type of sample collected",STRING,,,False,"ImmPort,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C156434",unspecified
Liver,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
Lung,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
Lymphocyte,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
M,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
MOI,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
Macrophage,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
Minutes,Unit of treatment duration,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
Monocyte,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
Months,Unit of treatment duration,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
NPX,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
Neutrophil,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
Organoids,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
Osteoblasts,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
OtherSampleTypeSampleType,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
PBL,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
PBMC,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
PFU,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
PFUe,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
Pancreas,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
Placenta,The type of sample collected,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
Plasma,"Type of biological material comprising the Specimen,The type of sample collected",STRING,,,False,"ImmPort,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C70713",unspecified
Pound,Measurement unit,STRING,,,False,"ImmPort,Proposed minimum metadata relative to mass spectrometry,Sage Bionetworks",MeasurementUnit
Protein,"the type of biospecimen subjected to analysis,The type of sample collected",STRING,,,False,"ImmPort,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C156434",unspecified
Saliva,"Type of biological material comprising the Specimen,The type of sample collected",STRING,,,False,"ImmPort,Sage Bionetworks,http://purl.obolibrary.org/obo/NCIT_C70713",unspecified
Seconds,Unit of treatment duration,STRING,,,False,"ImmPort,Sage Bionetworks",unspecified
