Key,Key Description,columnType,Source,Parent
10x,,,,ManifestColumn
 Accel-NGS 2S Plus,,,,ManifestColumn
 Accel-NGS Methyl-Seq,,,,ManifestColumn
 CEL-seq,,,,ManifestColumn
 Drop-Seq,,,,ManifestColumn
 NEBNext,,,,ManifestColumn
 NexteraXT,,,,ManifestColumn
 Omni-ATAC,,,,ManifestColumn
 sac-seq,,,,ManifestColumn
 Smart-seq1,,,,ManifestColumn
 Smart-seq2,,,,ManifestColumn
 Smart-seq4,,,,ManifestColumn
 SMRTbell,,,,ManifestColumn
 TruSeq,,,,ManifestColumn
 Ultralow Methyl-Seq,,,,ManifestColumn
 OtherLibraryPreparationMethod,,,,ManifestColumn
 Unknown,,,,ManifestColumn
 Not collected,,,,ManifestColumn
 Not applicable,,,,ManifestColumn
 Not Specified,,,,ManifestColumn
