Key,Key Description,columnType,Source,Parent
3xTg-AD,,,,BaseAnnotation
 5XFAD,,,,BaseAnnotation
 AB42,,,,BaseAnnotation
 Abca7A1527GAPOE4Trem2R47H,,,,BaseAnnotation
 Abca7KO,,,,BaseAnnotation
 Abca7V1599M_rs117187003,,,,BaseAnnotation
 Abi3S209F_Aduci,,,,BaseAnnotation
 APOE2KI,,,,BaseAnnotation
 APOE3KI,,,,BaseAnnotation
 APOE4KI,,,,BaseAnnotation
 APOE4Trem2R47H,,,,BaseAnnotation
 ApoEKO,,,,BaseAnnotation
 APPE693Q,,,,BaseAnnotation
 AppKOAPOE4Trem2R47H,,,,BaseAnnotation
 APPKM650,,,,BaseAnnotation
 APPKM670,,,,BaseAnnotation
 APPKM670-671NL-PSEN1deltaexon9,,,,BaseAnnotation
 APPPS1,,,,BaseAnnotation
 APPS1_Plexin-B1-KO,,,,BaseAnnotation
 B6.Clu,,,,BaseAnnotation
 B6.Gfap-APOE4,,,,BaseAnnotation
 Bin1.B6,,,,BaseAnnotation
 Bin1K358R_Aduci,,,,BaseAnnotation
 BRI2-AB42,,,,BaseAnnotation
 Cd2ap.B6,,,,BaseAnnotation
 Ceacam1KO,,,,BaseAnnotation
 Clasp2L163PSNP,,,,BaseAnnotation
 CRND8,,,,BaseAnnotation
 C57BL6J,,,,BaseAnnotation
 hAbetaKI,,,,BaseAnnotation
 hAPPAPOE4Trem2R47H,,,,BaseAnnotation
 hCR1KIAPOE4Trem2,,,,BaseAnnotation
 hTau,,,,BaseAnnotation
 hTauTrem2,,,,BaseAnnotation
 Il1rapKO,,,,BaseAnnotation
 Kif21bT82TSNP,,,,BaseAnnotation
 MAPT-P301K,,,,BaseAnnotation
 Meox2KOHET,,,,BaseAnnotation
 MthfrC677TSNP,,,,BaseAnnotation
 Mtmr4V297GSNP,,,,BaseAnnotation
 PicalmH458R,,,,BaseAnnotation
 Plcg2KO,,,,BaseAnnotation
 Plcg2M28LSNP,,,,BaseAnnotation
 Plexin-B1-KO,,,,BaseAnnotation
 rTg4510,,,,BaseAnnotation
 Snx1D465NSNP,,,,BaseAnnotation
 Sorl1A528TSNP,,,,BaseAnnotation
 Spi1rs1377416,,,,BaseAnnotation
 TAUPS19,,,,BaseAnnotation
 TAUPS19_Plexin-B1-KO,,,,BaseAnnotation
 TREM2,,,,BaseAnnotation
 Trem2flox,,,,BaseAnnotation
 Trem2KO,,,,BaseAnnotation
 Trem2R47H,,,,BaseAnnotation
 Trem2R47H_NSS,,,,BaseAnnotation
 Trem2Y38C,,,,BaseAnnotation
 TYROBP,,,,BaseAnnotation
 TYROBP_KO.KO,,,,BaseAnnotation
 TYROBP_WT,,,,BaseAnnotation
 TYROBP_WT.KO,,,,BaseAnnotation
