Key,Key Description,Type,Source,Parent
LTQ Orbitrap XL,,,,DataProperty
Orbitrap Fusion,,,,DataProperty
Orbitrap Fusion Lumos,,,,DataProperty
Q Exactive,,,,DataProperty
Q Exactive HF,,,,DataProperty
Q Exactive HF-X,,,,DataProperty
Q Exactive Plus,,,,DataProperty
Exploris 240Exploris 480quadrupole time-of-flight,,,,DataProperty
time-of-flight,,,,DataProperty
triple quadrupole,,,,DataProperty
Xevo G2 QTOF,,,,DataProperty
Xevo TQ-S,,,,DataProperty
Bruker Avance IIITimsTOF ProOtherMsAnalyzerTypeMS2,,,,DataProperty
Unknown,,,,DataProperty
Not collected,,,,DataProperty
Not applicable,,,,DataProperty
Not Specified,,,,DataProperty
