Key,Key Description,columnType,Source,Parent
DIA-MS,,string,,ManifestColumn
 FIA-MSMS,,string,,ManifestColumn
 HPLC-MSMS,,string,,ManifestColumn
 LC-MS,,string,,ManifestColumn
 LC-MSMS,,string,,ManifestColumn
 LC-SRMOtherMsAssayTechnique,,string,,ManifestColumn
 MDMS-SL,,string,,ManifestColumn
 MIB-MS,,string,,ManifestColumn
 Not Specified,,string,,ManifestColumn
 Not applicable,,string,,ManifestColumn
 Not collected,,string,,ManifestColumn
 UPLC-ESI-QTOF-MS,,string,,ManifestColumn
 UPLC-MSMS,,string,,ManifestColumn
 Unknown,,string,,ManifestColumn
DDA-MS,,string,,ManifestColumn
