Attribute,Description,Required,columnType,DependsOn,Source,Parent,Valid Values
platformLocation,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor.,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",True,STRING,,Sage Bionetworks,ManifestColumn,
technologyPlatformVersion,"The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment. ,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",True,STRING,,Sage Bionetworks,ManifestColumn,"Affymetrix Genome-Wide Human SNP 5.0 Array, Affymetrix Genome-Wide Human SNP 6.0 Array, Affymetrix Human Gene 1.0 ST Array, Affymetrix Human Genome U133 Plus 2.0 Array, Affymetrix U133AB, Agilent 44Karray, BGISEQ-500, Bionano Irys, Cherry Imaging FACE Platform, Cherry Imaging TRACE Platform, Chromium X, EnVision 2103 Multiplate Reader, Illumina 1M, Illumina Genome Analyzer IIx, Illumina HiSeq 2000, Illumina HiSeq 2500, Illumina HiSeq 3000, Illumina HiSeq 4000, Illumina HiSeq X, Illumina Human660W-Quad v1.0 BeadChip, Illumina HumanHap300, Illumina HumanMethylation450, Illumina HumanOmni1-Quadv1.0, Illumina HumanOmniExpress-24 v1.0 BeadChip, Illumina HumanOmniExpress-24 v1.2 BeadChip, Illumina Infinium MethylationEPIC BeadChip v1.0 (850k), Illumina Infinium MethylationEPIC BeadChip v2.0 (935k)Illumina MiSeq, Illumina MouseWG-6 v2.0 expression BeadChip, Illumina NextSeq 1000, Illumina NextSeq 2000, Illumina NextSeq 500, Illumina NextSeq 550, Illumina NovaSeq 6000, Illumina Omni2pt5M, Illumina Omni5M, Illumina WholeGenome DASL, Illumina h650, Infinium HumanOmniExpressExome, LI-COR Odyssey CLx, LTQ Orbitrap XL, LifeViz Infinity System, LifeViz Micro System, Nanostring Counter, Nanostring GeoMx, Not Specified, Not applicable, Not collected, Olympus DP80, Orbitrap Fusion Lumos Tribrid, OtherTechnologyPlatformVersion, PacBio RS II, PacBio Sequel II System, PacBio Sequel IIe System, Perlegen 300Karray, Promega GloMax Discover, Q Exative HF, Spectramax M Series, Unknown, Vectra H1 3D Imaging System, Vevo 3100 Imaging System, Zeiss LSM 980, scale,10x Visium Spatial Gene Expression"
acquisitionMode,"The specific aspect of a mass spectrometer method by which mass ranges are selected and possibly dissociated (full scan, MSn, SIM, MRM, etc.).,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",True,STRING,,https://www.ebi.ac.uk/ols/ontologies/ms/termsiri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FMS_1003213,ManifestColumn,
acquisitionSoftware,"The name of the acquisition software used.,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",True,STRING,,http://purl.obolibrary.org/obo/MS_1001455,ManifestColumn,
acquistionSoftwareVersion,"The version number of software used.,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",True,NUMBER,,Sage Bionetworks,ManifestColumn,
dataFile,"Name of additional file(s) accompanying the data. The file(s) provide, for example, the name of any raw files generated by the instrument, generated reports from a vendor, an Rscript, or an instructions document. The files can be instrument raw files, converted peak lists such as mzML, MGF, or result files like mzIdentML. The files can be additional documentation submitted alongside the data needed for reuse and sharing purposes.,Provide the file names of any additional files submitted alongside the data (ex., an ADAT file). Multiple file names can be separated by (;),Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified,Name of additional file(s) accompanying the data. The file(s) provide, for example, the name of any raw files generated by the instrument, generated reports from a vendor, an Rscript, or an instructions document. The files can be instrument raw files, converted peak lists such as mzML, MGF, or result files like mzIdentML. The files can be additional documentation submitted alongside the data needed for reuse and sharing purposes.,,Provide the file names of any additional files submitted alongside the data.",True,STRING,,Proteomics Sample Metadata,ManifestColumn,
databaseName,"The name of the search database (nr, SwissProt or est_human, and/or mass spectral library).,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",True,STRING,,http://purl.obolibrary.org/obo/MS_1001013,ManifestColumn,"HMDB, Metlin, NIST17, Not Specified, Not applicable, Not collected, OtherDatabaseName, Unknown,MassBank of North America (MoNA)"
databaseSource,"The name of the organization, project, or laboratory from where the database is obtained (UniProt, NCBI, EBI, other).",False,STRING,,http://purl.obolibrary.org/obo/MS_1001012,ManifestColumn,"Not Specified, Not applicable, Not collected, Unknown,OtherDatabaseSource"
databaseWeblink,"An internet address that may provide details of a database or software search, as well as for labs that generate their own search method (web link).,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",False,STRING,,"DSLWG,Sage Bionetworks",ManifestColumn,
digestionReagent,"Enzymes or reagents used for digestion. ,",True,STRING,,,,
