Key,Key Description,Type,Source,Module
AFU,nan,,nan,Omics
AI,nan,,nan,Omics
AU/ml,nan,,nan,Omics
DK units/ml,nan,,nan,Omics
bpg/dl,nan,,nan,Omics
g/l,nan,,nan,Omics
gm,nan,,nan,Omics
HAU,nan,,nan,Omics
IU,nan,,nan,Omics
iu/l,nan,,nan,Omics
IU/ml,nan,,nan,Omics
Kallikrein Inactivator Unit per Milliliter,nan,,nan,Omics
kg,nan,,nan,Omics
l,nan,,nan,Omics
M,nan,,nan,Omics
mg,nan,,nan,Omics
mg/dl,nan,,nan,Omics
mg/l,nan,,nan,Omics
mg/ml,nan,,nan,Omics
miu/ml,nan,,nan,Omics
ml,nan,,nan,Omics
mM,nan,,nan,Omics
MOI,nan,,nan,Omics
ng,nan,,nan,Omics
ng/dl,nan,,nan,Omics
ng/ml,nan,,nan,Omics
ng/nl,nan,,nan,Omics
ng/ul,nan,,nan,Omics
nl,nan,,nan,Omics
nM,nan,,nan,Omics
Not Specified,nan,,nan,Omics
NPX,nan,,nan,Omics
optical density,nan,,nan,Omics
PFU,nan,,nan,Omics
PFUe,nan,,nan,Omics
pg,nan,,nan,Omics
pg/mg creatinine,nan,,nan,Omics
pg/ml,nan,,nan,Omics
pg/nl,nan,,nan,Omics
pg/ul,nan,,nan,Omics
pl,nan,,nan,Omics
pM,nan,,nan,Omics
Pound,nan,,nan,Omics
TCID50,nan,,nan,Omics
ug,nan,,nan,Omics
ug/dl,nan,,nan,Omics
ug/l,nan,,nan,Omics
ug/ml,nan,,nan,Omics
ug/ul,nan,,nan,Omics
uiu/ml,nan,,nan,Omics
ul,nan,,nan,Omics
uM,nan,,nan,Omics
umol/l,nan,,nan,Omics
units/ml,nan,,nan,Omics
OtherReadLengthUnits,nan,,nan,Omics
