Key,Key Description,columnType,Source,Parent
Broad Single Cell Portal,,,,ManifestColumn
 ENA,,,,ManifestColumn
 Ensembl,,,,ManifestColumn
 FlowRepository,,,,ManifestColumn
 GEO,,,,ManifestColumn
 GISAID,,,,ManifestColumn
 GenBank,,,,ManifestColumn
 IEDB,,,,ManifestColumn
 ImmPort,,,,ManifestColumn
 MGnify,,,,ManifestColumn
 MassIVE,,,,ManifestColumn
 MetaboLights,,,,ManifestColumn
 Metabolomics Workbench,,,,ManifestColumn
 NCBI Gene,,,,ManifestColumn
 Not Specified,,,,ManifestColumn
 Not applicable,,,,ManifestColumn
 Not collected,,,,ManifestColumn
 OtherRepositoryName,,,,ManifestColumn
 PRIDE,,,,ManifestColumn
 SRA,,,,ManifestColumn
 UniProt,,,,ManifestColumn
 Unknown,,,,ManifestColumn
 dbGAP,,,,ManifestColumn
ArrayExpress,,,,ManifestColumn
