Key,Key Description,columnType,Source,Parent
Amniotic Fluid,,,,ManifestColumn
 Appendix,,,,ManifestColumn
 B cell,,,,ManifestColumn
 Basophils,,,,ManifestColumn
 Bone,,,,ManifestColumn
 Bone Marrow,,,,ManifestColumn
 Brachial lymph node,,,,ManifestColumn
 brain,,,,ManifestColumn
 Breast Milk,,,,ManifestColumn
 Bronchoalveolar Lavage Fluid,,,,ManifestColumn
 Carbohydrate,,,,ManifestColumn
 Cell culture supernatant,,,,ManifestColumn
 cell line,,,,ManifestColumn
 Cerebrospinal Fluid,,,,ManifestColumn
 Cervical lymph nodes,,,,ManifestColumn
 Colon,,,,ManifestColumn
 Colonic Lamina Propria,,,,ManifestColumn
 Convalescent Plasma,,,,ManifestColumn
 Cord blood,,,,ManifestColumn
 Dendritic cell,,,,ManifestColumn
 Dermis,,,,ManifestColumn
 DNA,,,,ManifestColumn
 Dried Blood Spot,,,,ManifestColumn
 Endotracheal aspirate,,,,ManifestColumn
 Epithelium,,,,ManifestColumn
 Feces,,,,ManifestColumn
 Fibroblast,,,,ManifestColumn
 Gastric lamina propria,,,,ManifestColumn
 Ileum,,,,ManifestColumn
 Inguinal lymph node,,,,ManifestColumn
 Jejunum,,,,ManifestColumn
 Kidney,,,,ManifestColumn
 Leukocytes,,,,ManifestColumn
 Lipid,,,,ManifestColumn
 Liver,,,,ManifestColumn
 Lung,,,,ManifestColumn
 Lung lymph node,,,,ManifestColumn
 Lymph node,,,,ManifestColumn
 Lymphocyte,,,,ManifestColumn
 Macrophage,,,,ManifestColumn
 Mesenteric lymph node,,,,ManifestColumn
 Monocyte,,,,ManifestColumn
 Mouse Ear,,,,ManifestColumn
 Nasal lavage fluid,,,,ManifestColumn
 Nasal Swab,,,,ManifestColumn
 Nasal Swab or Nose Specimen,,,,ManifestColumn
 Nasopharyngeal Swab Specimen,,,,ManifestColumn
 Negative Control,,,,ManifestColumn
 Neutrophil,,,,ManifestColumn
 NK cell,,,,ManifestColumn
 Not Specified,,,,ManifestColumn
 Optic Nerve,,,,ManifestColumn
 Organoids,,,,ManifestColumn
 Oropharyngeal Swab Specimen,,,,ManifestColumn
 Osteoblasts,,,,ManifestColumn
 OtherSampleType,,,,ManifestColumn
 Pancreas,,,,ManifestColumn
 Pancreatic Stellate Cells,,,,ManifestColumn
 PBL,,,,ManifestColumn
 PBMC,,,,ManifestColumn
 Placenta,,,,ManifestColumn
 Plasma,,,,ManifestColumn
 Pooled Sample,,,,ManifestColumn
 Popliteal lymph node,,,,ManifestColumn
 Positive Control,,,,ManifestColumn
 Protein,,,,ManifestColumn
 Rectal Swab Specimen,,,,ManifestColumn
 Red Blood Cell,,,,ManifestColumn
 Saliva,,,,ManifestColumn
 Salivary Glands,,,,ManifestColumn
 Serum,,,,ManifestColumn
 Skin of body,,,,ManifestColumn
 Small intestine,,,,ManifestColumn
 Spleen,,,,ManifestColumn
 Sputum,,,,ManifestColumn
 Stomach,,,,ManifestColumn
 Synovial fluid,,,,ManifestColumn
 Synovial tissue,,,,ManifestColumn
 T cell,,,,ManifestColumn
 Thymus,,,,ManifestColumn
 Tonsil,,,,ManifestColumn
 Trachea,,,,ManifestColumn
 Tumor Tissue,,,,ManifestColumn
 Umbilical cord blood,,,,ManifestColumn
 Urinary bladder,,,,ManifestColumn
 Urine,,,,ManifestColumn
 Vagina,,,,ManifestColumn
 Whole blood,,,,ManifestColumn
