Attribute,Description,Required,columnType,DependsOn,Source,Parent,Valid Values
isStranded,Whether or not the library is stranded.,True,STR,,Sage Bionetworks,ManifestColumn,"TRUE, FALSE, Not applicable, Not collected, Other, Uknown"
libraryBatchID,"Library batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",True,,,Sage Bionetworks,ManifestColumn,
libraryPrep,The general strategy by which the library was prepared,True,,,Sage Bionetworks,ManifestColumn,"Chromium Single Cell 3', DNALibraryConstruction, EndItDNAEndRepairKit, KapaHyperPrep, MULTIseq, Not Specified, Not applicable, Not collected, OtherLibraryPrep, PCRfree, SPLITseq, STARRSeq, SureCell, Unknown, cellHashing, lncRNAenrichment, methylSeq, miRNAenrichment, multiome, polyAselection, proximity ligation, rRNAdepletion, totalRNA,amplicon"
libraryPreparationMethod,Method by which library was prepared,True,,,Sage Bionetworks,ManifestColumn,"Accel-NGS 2S Plus, Accel-NGS Methyl-Seq, CEL-seq, Drop-Seq, NEBNext, NexteraXT, Not Specified, Not applicable, Not collected, Omni-ATAC, OtherLibraryPreparationMethod, SMRTbell, Smart-seq1, Smart-seq2, Smart-seq4, TruSeq, Ultralow Methyl-Seq, Unknown, sac-seq,10x"
libraryVersion,"Library Version: for example, rnaSeq 10x library version",True,,,Sage Bionetworks,ManifestColumn,"Not Specified, Not applicable, Not collected, Unknown,OtherLibraryVersion"
readLength,The length of the read,True,,,Sage Bionetworks,ManifestColumn,
readLengthUnits,The units of measurement.,True,,,Sage Bionetworks,ManifestColumn,"AI, AU/ml, DK units/ml, HAU, IU, IU/ml, Kallikrein Inactivator Unit per Milliliter, M, MOI, NPX, Not Specified, OtherReadLengthUnits, PFU, PFUe, Pound, TCID50, bpg/dl, g/l, gm, iu/l, kg, l, mM, mg, mg/dl, mg/l, mg/ml, miu/ml, ml, nM, ng, ng/dl, ng/ml, ng/nl, ng/ul, nl, optical density, pM, pg, pg/mg creatinine, pg/ml, pg/nl, pg/ul, pl, uM, ug, ug/dl, ug/l, ug/ml, ug/ul, uiu/ml, ul, umol/l, units/ml,AFU"
readStrandOrigin,The strand from which the read originates in a strand-specific protocol,True,,,Sage Bionetworks,ManifestColumn,"reverse,forward"
referenceTranscriptID,The ID for the transcript/gene. Either the NCBI ID or the Ensembl ID must be provided,True,,,Sage Bionetworks,ManifestColumn,
rnaBatchID,"RNA isolation batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",True,,,Sage Bionetworks,ManifestColumn,
rnaBatchSize,The number of samples,False,,,Sage Bionetworks,ManifestColumn,
rnaBatchSizeUnit,The unit of measurement for number of samples in a batch,True,,,Sage Bionetworks,ManifestColumn,"AI, AU/ml, DK units/ml, HAU, IU, IU/ml, Kallikrein Inactivator Unit per Milliliter, M, MOI, NPX, Not Specified, OtherRnaBatchSizeUnit, PFU, PFUe, Pound, TCID50, bpg/dl, g/l, gm, iu/l, kg, l, mM, mg, mg/dl, mg/l, mg/ml, miu/ml, ml, nM, ng, ng/dl, ng/ml, ng/nl, ng/ul, nl, optical density, pM, pg, pg/mg creatinine, pg/ml, pg/nl, pg/ul, pl, uM, ug, ug/dl, ug/l, ug/ml, ug/ul, uiu/ml, ul, umol/l, units/ml,AFU"
runType,The type of run,True,,,Sage Bionetworks,ManifestColumn,"pairedEnd,singleEnd"
sequencingBatchID,"Sequencing batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",True,,,Sage Bionetworks,ManifestColumn,"Not Specified, Not applicable, Not collected,Unknown"
sequencingBatchSize,The number of samples,True,,,Sage Bionetworks,ManifestColumn,
sequencingBatchSizeUnit,The unit of measurement for number of samples in a batch,True,,,Sage Bionetworks,ManifestColumn,"AI, AU/ml, DK units/ml, HAU, IU, IU/ml, Kallikrein Inactivator Unit per Milliliter, M, MOI, NPX, Not Specified, OtherSequencingBatchSizeUnit, PFU, PFUe, Pound, TCID50, bpg/dl, g/l, gm, iu/l, kg, l, mM, mg, mg/dl, mg/l, mg/ml, miu/ml, ml, nM, ng, ng/dl, ng/ml, ng/nl, ng/ul, nl, optical density, pM, pg, pg/mg creatinine, pg/ml, pg/nl, pg/ul, pl, uM, ug, ug/dl, ug/l, ug/ml, ug/ul, uiu/ml, ul, umol/l, units/ml,AFU"
totalReads,Total number of sequencing reads from a library.,True,,,Sage Bionetworks,ManifestColumn,
platformLocation,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor.,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",True,STRING,,Sage Bionetworks,ManifestColumn,
technologyPlatformVersion,"The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment. ,Provide a value OR provide one of these values:,Unknown,Not collected,Not applicable,Not specified",True,STRING,,Sage Bionetworks,ManifestColumn,"Affymetrix Genome-Wide Human SNP 5.0 Array, Affymetrix Genome-Wide Human SNP 6.0 Array, Affymetrix Human Gene 1.0 ST Array, Affymetrix Human Genome U133 Plus 2.0 Array, Affymetrix U133AB, Agilent 44Karray, BGISEQ-500, Bionano Irys, Cherry Imaging FACE Platform, Cherry Imaging TRACE Platform, Chromium X, EnVision 2103 Multiplate Reader, Illumina 1M, Illumina Genome Analyzer IIx, Illumina HiSeq 2000, Illumina HiSeq 2500, Illumina HiSeq 3000, Illumina HiSeq 4000, Illumina HiSeq X, Illumina Human660W-Quad v1.0 BeadChip, Illumina HumanHap300, Illumina HumanMethylation450, Illumina HumanOmni1-Quadv1.0, Illumina HumanOmniExpress-24 v1.0 BeadChip, Illumina HumanOmniExpress-24 v1.2 BeadChip, Illumina Infinium MethylationEPIC BeadChip v1.0 (850k), Illumina Infinium MethylationEPIC BeadChip v2.0 (935k)Illumina MiSeq, Illumina MouseWG-6 v2.0 expression BeadChip, Illumina NextSeq 1000, Illumina NextSeq 2000, Illumina NextSeq 500, Illumina NextSeq 550, Illumina NovaSeq 6000, Illumina Omni2pt5M, Illumina Omni5M, Illumina WholeGenome DASL, Illumina h650, Infinium HumanOmniExpressExome, LI-COR Odyssey CLx, LTQ Orbitrap XL, LifeViz Infinity System, LifeViz Micro System, Nanostring Counter, Nanostring GeoMx, Not Specified, Not applicable, Not collected, Olympus DP80, Orbitrap Fusion Lumos Tribrid, OtherTechnologyPlatformVersion, PacBio RS II, PacBio Sequel II System, PacBio Sequel IIe System, Perlegen 300Karray, Promega GloMax Discover, Q Exative HF, Spectramax M Series, Unknown, Vectra H1 3D Imaging System, Vevo 3100 Imaging System, Zeiss LSM 980, scale,10x Visium Spatial Gene Expression"
