Key,Key Description,Type,Source,Parent
Not applicable,,,,DataProperty
Not collected,,,,DataProperty
Other,,,,DataProperty
Unknown,,,,DataProperty
alveolar capillary type 1 endothelial cell,,,,DataProperty
alveolar capillary type 2 endothelial cell,,,,DataProperty
blood vessel endothelial cell,,,,DataProperty
capillary endothelial cell,,,,DataProperty
endometrial microvascular endothelial cell,,,,DataProperty
endothelial cell of arteriole,,,,DataProperty
endothelial cell of artery,,,,DataProperty
endothelial cell of high endothelial venule,,,,DataProperty
endothelial cell of sinusoid,,,,DataProperty
endothelial cell of venule,,,,DataProperty
glomerular capillary endothelial cell,,,,DataProperty
kidney afferent arteriole endothelial cell,,,,DataProperty
kidney capillary endothelial cell,,,,DataProperty
kidney efferent arteriole endothelial cell,,,,DataProperty
peritubular capillary endothelial cell,,,,DataProperty
placental villus capillary endothelial cell,,,,DataProperty
pulmonary capillary endothelial cell,,,,DataProperty
vasa recta ascending limb cell,,,,DataProperty
vasa recta cell,,,,DataProperty
vasa recta descending limb cell,,,,DataProperty
vein endothelial cell,,,,DataProperty
vein endothelial cell of respiratory system,,,,DataProperty
