Key,Key Description,columnType,Source,Parent
Accessory Tissue,,,,ManifestColumn
 Acinar Salivary Gland System,,,,ManifestColumn
 Adipose Tissue,,,,ManifestColumn
 Adrenal Cortex,,,,ManifestColumn
 Adrenal Gland Tissue,,,,ManifestColumn
 Adrenal Medulla,,,,ManifestColumn
 Alveolar Duct,,,,ManifestColumn
 Alveolar Epithelium,,,,ManifestColumn
 Alveolar Sac,,,,ManifestColumn
 Alveolar Septum,,,,ManifestColumn
 Anal Mucosa,,,,ManifestColumn
 Aorta Endothelium,,,,ManifestColumn
 Aorta Smooth Muscle Tissue,,,,ManifestColumn
 Arachnoid Membrane,,,,ManifestColumn
 Arterial System Endothelium,,,,ManifestColumn
 Arterial System Smooth Muscle Tissue,,,,ManifestColumn
 Arteriole Endothelium,,,,ManifestColumn
 Arteriole Smooth Muscle Tissue,,,,ManifestColumn
 Artery Endothelium,,,,ManifestColumn
 Artery Smooth Muscle Tissue,,,,ManifestColumn
 Basement Membrane,,,,ManifestColumn
 Basilar Membrane,,,,ManifestColumn
 Basilar Membrane of the Membranous Canal of the Cochlea,,,,ManifestColumn
 Bile Duct Epithelium,,,,ManifestColumn
 Bile Duct Tissue,,,,ManifestColumn
 Bladder Lamina Propria,,,,ManifestColumn
 Bladder Mucosa,,,,ManifestColumn
 Bladder Muscular Coat,,,,ManifestColumn
 Bladder Muscularis Mucosa,,,,ManifestColumn
 Bladder Serosal Surface,,,,ManifestColumn
 Bladder Tissue,,,,ManifestColumn
 Bladder Urothelium,,,,ManifestColumn
 Blood Vessel Endothelium,,,,ManifestColumn
 Blood Vessel Tissue,,,,ManifestColumn
 Bone Matrix,,,,ManifestColumn
 Bone Tissue,,,,ManifestColumn
 Bone Trabeculae,,,,ManifestColumn
 Bowman's Membrane,,,,ManifestColumn
 Brain Arachnoid Membrane,,,,ManifestColumn
 Brain Dura Mater,,,,ManifestColumn
 Brain Gray Matter,,,,ManifestColumn
 Brain Pia Mater,,,,ManifestColumn
 Brain White Matter,,,,ManifestColumn
 Breast Fibroglandular Tissue,,,,ManifestColumn
 Bronchial Epithelium,,,,ManifestColumn
 Bronchiole Epithelium,,,,ManifestColumn
 Bronchus Basement Membrane,,,,ManifestColumn
 Bronchus Connective Tissue,,,,ManifestColumn
 Bronchus Elastic Tissue,,,,ManifestColumn
 Bronchus Lamina Propria,,,,ManifestColumn
 Bronchus Smooth Muscle Tissue,,,,ManifestColumn
 Bronchus Submucosa,,,,ManifestColumn
 Bronchus-Associated Lymphoid Tissue,,,,ManifestColumn
 Brown Adipose Tissue,,,,ManifestColumn
 Buccal Mucosa,,,,ManifestColumn
 Bulbar Conjunctiva,,,,ManifestColumn
 Canalis Radicis Dentis,,,,ManifestColumn
 Capillary Endothelium,,,,ManifestColumn
 Cardiac Tissue,,,,ManifestColumn
 Cartilage Matrix,,,,ManifestColumn
 Cartilaginous Tissue,,,,ManifestColumn
 Cementum,,,,ManifestColumn
 Central Zone of the Prostatic Parenchyma,,,,ManifestColumn
 Cerebellum White Matter,,,,ManifestColumn
 Cerebral Meninges,,,,ManifestColumn
 Cerebral White Matter,,,,ManifestColumn
 Cervix Epithelium,,,,ManifestColumn
 Cervix Glandular Epithelium,,,,ManifestColumn
 Cervix Squamous Epithelium,,,,ManifestColumn
 Choristoma,,,,ManifestColumn
 Choroid,,,,ManifestColumn
